0.0,0.0,0.0
0.1,0.0,0.0
0.1,0.0,24.22
34.38,81.54,24.22
34.38,81.54,5.55
34.38,81.54,24.22
43.38,81.54,24.22
43.38,81.54,5.55
43.38,81.54,24.22
52.38,81.54,24.22
52.38,81.54,5.55
52.38,81.54,24.22
61.38,81.54,24.22
61.38,81.54,5.55
61.38,81.54,24.22
70.38,81.54,24.22
70.38,81.54,5.55
70.38,81.54,24.22
79.38,81.54,24.22
79.38,81.54,5.55
79.38,81.54,24.22
88.38,81.54,24.22
88.38,81.54,5.55
88.38,81.54,24.22
97.38,81.54,24.22
97.38,81.54,5.55
97.38,81.54,24.22
106.38,81.54,24.22
106.38,81.54,5.55
106.38,81.54,24.22
115.38,81.54,24.22
115.38,81.54,5.55
115.38,81.54,24.22
124.38,81.54,24.22
124.38,81.54,5.55
124.38,81.54,24.22
133.38,81.54,24.22
133.38,81.54,5.55
133.38,81.54,24.22
34.38,72.54,24.22
34.38,72.54,5.55
34.38,72.54,24.22
43.38,72.54,24.22
43.38,72.54,5.55
43.38,72.54,24.22
52.38,72.54,24.22
52.38,72.54,5.55
52.38,72.54,24.22
61.38,72.54,24.22
61.38,72.54,5.55
61.38,72.54,24.22
70.38,72.54,24.22
70.38,72.54,5.55
70.38,72.54,24.22
79.38,72.54,24.22
79.38,72.54,5.55
79.38,72.54,24.22
88.38,72.54,24.22
88.38,72.54,5.55
88.38,72.54,24.22
97.38,72.54,24.22
97.38,72.54,5.55
97.38,72.54,24.22
106.38,72.54,24.22
106.38,72.54,5.55
106.38,72.54,24.22
115.38,72.54,24.22
115.38,72.54,5.55
115.38,72.54,24.22
124.38,72.54,24.22
124.38,72.54,5.55
124.38,72.54,24.22
133.38,72.54,24.22
133.38,72.54,5.55
133.38,72.54,24.22
34.38,63.54,24.22
34.38,63.54,5.55
34.38,63.54,24.22
43.38,63.54,24.22
43.38,63.54,5.55
43.38,63.54,24.22
52.38,63.54,24.22
52.38,63.54,5.55
52.38,63.54,24.22
61.38,63.54,24.22
61.38,63.54,5.55
61.38,63.54,24.22
70.38,63.54,24.22
70.38,63.54,5.55
70.38,63.54,24.22
79.38,63.54,24.22
79.38,63.54,5.55
79.38,63.54,24.22
88.38,63.54,24.22
88.38,63.54,5.55
88.38,63.54,24.22
97.38,63.54,24.22
97.38,63.54,5.55
97.38,63.54,24.22
106.38,63.54,24.22
106.38,63.54,5.55
106.38,63.54,24.22
115.38,63.54,24.22
115.38,63.54,5.55
115.38,63.54,24.22
124.38,63.54,24.22
124.38,63.54,5.55
124.38,63.54,24.22
133.38,63.54,24.22
133.38,63.54,5.55
133.38,63.54,24.22
34.38,54.54,24.22
34.38,54.54,5.55
34.38,54.54,24.22
43.38,54.54,24.22
43.38,54.54,5.55
43.38,54.54,24.22
52.38,54.54,24.22
52.38,54.54,5.55
52.38,54.54,24.22
61.38,54.54,24.22
61.38,54.54,5.55
61.38,54.54,24.22
70.38,54.54,24.22
70.38,54.54,5.55
70.38,54.54,24.22
79.38,54.54,24.22
79.38,54.54,5.55
79.38,54.54,24.22
88.38,54.54,24.22
88.38,54.54,5.55
88.38,54.54,24.22
97.38,54.54,24.22
97.38,54.54,5.55
97.38,54.54,24.22
106.38,54.54,24.22
106.38,54.54,5.55
106.38,54.54,24.22
115.38,54.54,24.22
115.38,54.54,5.55
115.38,54.54,24.22
124.38,54.54,24.22
124.38,54.54,5.55
124.38,54.54,24.22
133.38,54.54,24.22
133.38,54.54,5.55
133.38,54.54,24.22
34.38,45.54,24.22
34.38,45.54,5.55
34.38,45.54,24.22
43.38,45.54,24.22
43.38,45.54,5.55
43.38,45.54,24.22
52.38,45.54,24.22
52.38,45.54,5.55
52.38,45.54,24.22
61.38,45.54,24.22
61.38,45.54,5.55
61.38,45.54,24.22
70.38,45.54,24.22
70.38,45.54,5.55
70.38,45.54,24.22
79.38,45.54,24.22
79.38,45.54,5.55
79.38,45.54,24.22
88.38,45.54,24.22
88.38,45.54,5.55
88.38,45.54,24.22
97.38,45.54,24.22
97.38,45.54,5.55
97.38,45.54,24.22
106.38,45.54,24.22
106.38,45.54,5.55
106.38,45.54,24.22
115.38,45.54,24.22
115.38,45.54,5.55
115.38,45.54,24.22
124.38,45.54,24.22
124.38,45.54,5.55
124.38,45.54,24.22
133.38,45.54,24.22
133.38,45.54,5.55
133.38,45.54,24.22
34.38,36.54,24.22
34.38,36.54,5.55
34.38,36.54,24.22
43.38,36.54,24.22
43.38,36.54,5.55
43.38,36.54,24.22
52.38,36.54,24.22
52.38,36.54,5.55
52.38,36.54,24.22
61.38,36.54,24.22
61.38,36.54,5.55
61.38,36.54,24.22
70.38,36.54,24.22
70.38,36.54,5.55
70.38,36.54,24.22
79.38,36.54,24.22
79.38,36.54,5.55
79.38,36.54,24.22
88.38,36.54,24.22
88.38,36.54,5.55
88.38,36.54,24.22
97.38,36.54,24.22
97.38,36.54,5.55
97.38,36.54,24.22
106.38,36.54,24.22
